;Product;Yield;Error;Z;N
255;Rb94;0.014159999999999999;0.0042979;37;57
256;Rb95;0.0082238;0.0027718000000000005;37;58
257;Rb96;0.0010550000000000002;0.0003738;37;59
258;Rb96m;0.0010550000000000002;0.0003738;37;59
259;Rb97;0.00058533;0.00020386;37;60
260;Rb98;2.9209e-05;1.0226e-05;37;61
261;Rb98m;2.9209e-05;1.0226e-05;37;61
262;Rb99;6.56e-06;2.3665e-06;37;62
263;Rb100;6.712700000000001e-09;2.5499e-09;37;63
264;Sr86;0.0;0.0;38;48
265;Sr87;1.4357000000000001e-09;5.1311e-10;38;49
266;Sr87m;3.3197000000000004e-10;1.1864e-10;38;49
267;Sr88;1.3881e-05;5.3536e-06;38;50
268;Sr89;0.00012427;4.8314e-05;38;51
269;Sr90;0.0011295;0.00042072;38;52
270;Sr91;0.0043164;0.0013901;38;53
271;Sr92;0.016104;0.0039204;38;54
272;Sr93;0.02905;0.0053188;38;55
273;Sr94;0.046061000000000005;0.004854600000000001;38;56
274;Sr95;0.045288;0.004906100000000001;38;57
275;Sr96;0.038167;0.005098;38;58
276;Sr97;0.018431;0.0043793999999999994;38;59
277;Sr98;0.007567;0.0023111;38;60
278;Sr99;0.0019118;0.00066982;38;61
279;Sr100;0.00044369;0.0001674;38;62
280;Sr101;3.6655999999999996e-05;1.3455e-05;38;63
281;Sr102;1.1617e-06;4.1563e-07;38;64
282;Sr103;7.196199999999999e-10;2.5918e-10;38;65
283;Y89;0.0;0.0;39;50
284;Y89m;0.0;0.0;39;50
285;Y90;1.3422e-06;5.128600000000001e-07;39;51
286;Y90m;1.9046000000000002e-06;7.2774e-07;39;51
287;Y91;3.5218e-06;1.2405e-06;39;52
288;Y91m;1.5230999999999999e-05;5.3648e-06;39;52
289;Y92;0.00011937;4.1447e-05;39;53
290;Y93;0.00012734;4.5251000000000004e-05;39;54
291;Y93m;0.00083297;0.00029601;39;54
292;Y94;0.0028076;0.0010275;39;55
293;Y95;0.010776;0.0033996;39;56
294;Y96;0.006305600000000001;0.0016312999999999998;39;57
295;Y96m;0.011342;0.0029344;39;57
296;Y97;0.0054103;0.00095924;39;58
297;Y97m;0.018441;0.0032695;39;58
298;Y97n;0.0049552;0.00087854;39;58
299;Y98;0.0043015;0.00091507;39;59
300;Y98m;0.018090000000000002;0.0038484;39;59
301;Y99;0.019372999999999998;0.0046852;39;60
302;Y100;0.0038858000000000005;0.0012948;39;61
303;Y100m;0.0038858000000000005;0.0012948;39;61
304;Y101;0.0029714000000000003;0.0010259;39;62
305;Y102;0.00026931;9.489e-05;39;63
306;Y102m;0.00026931;9.489e-05;39;63
307;Y103;7.1712e-05;2.5753000000000002e-05;39;64
308;Y104;6.480800000000001e-06;2.4369e-06;39;65
309;Y105;2.5040999999999997e-09;1.0207e-09;39;66
310;Zr90;0.0;0.0;40;50
311;Zr90m;0.0;0.0;40;50
312;Zr91;0.0;0.0;40;51
313;Zr92;3.0333e-06;1.0553e-06;40;52
314;Zr93;2.1858000000000003e-05;7.8666e-06;40;53
315;Zr94;0.00017695;6.6777e-05;40;54
316;Zr95;0.0010044000000000001;0.00036945;40;55
317;Zr96;0.0051372;0.0017343;40;56
318;Zr97;0.011501;0.0033312;40;57
319;Zr98;0.027063999999999998;0.0048938;40;58
320;Zr99;0.036601;0.00511;40;59
321;Zr100;0.045755000000000004;0.0043304;40;60
322;Zr101;0.030052;0.0043365;40;61
323;Zr102;0.017397;0.0034446;40;62
324;Zr103;0.0044174999999999996;0.0013332;40;63
325;Zr104;0.0010185;0.00035716;40;64
326;Zr105;7.193e-05;2.9009e-05;40;65
327;Zr106;8.0296e-06;3.6958999999999996e-06;40;66
328;Zr107;2.1572e-09;8.5812e-10;40;67
329;Zr108;2.1585000000000002e-11;8.1638e-12;40;68
330;Nb95;2.2213e-06;8.252e-07;41;54
331;Nb95m;5.1361e-07;1.908e-07;41;54
332;Nb96;1.5159000000000002e-05;5.4762999999999996e-06;41;55
333;Nb97;0.00012347;4.3252e-05;41;56
334;Nb97m;2.8549e-05;1.0001e-05;41;56
335;Nb98;0.00017463;6.0958e-05;41;57
336;Nb98m;0.00052697;0.00018395;41;57
337;Nb99;0.0029881;0.0010514;41;58
338;Nb99m;0.00069092;0.00024311;41;58
339;Nb100;0.0014705;0.00051431;41;59
340;Nb100m;0.0061842;0.002163;41;59
341;Nb101;0.015891;0.004020599999999999;41;60
342;Nb102;0.008947499999999999;0.0018;41;61
343;Nb102m;0.008947499999999999;0.0018;41;61
344;Nb103;0.017166;0.0026149999999999997;41;62
345;Nb104;0.0033313;0.00078485;41;63
346;Nb104m;0.0033313;0.00078485;41;63
347;Nb105;0.0023434000000000003;0.00068766;41;64
348;Nb106;0.00032363;0.00013133;41;65
349;Nb107;5.0042e-05;1.8965e-05;41;66
350;Nb108;4.8336e-06;1.8088e-06;41;67
351;Nb109;1.5906e-06;5.7808e-07;41;68
352;Nb110;7.4167e-11;2.742e-11;41;69
353;Mo95;0.0;0.0;42;53
354;Mo96;0.0;0.0;42;54
355;Mo97;8.7976e-07;3.0843e-07;42;55
356;Mo98;2.4669e-05;8.646e-06;42;56
357;Mo99;0.00014749;5.3327e-05;42;57
358;Mo100;0.00096688;0.00037186;42;58
359;Mo101;0.0028051;0.0010417999999999998;42;59
360;Mo102;0.007041800000000001;0.0022434;42;60
361;Mo103;0.0091626;0.002361;42;61
362;Mo104;0.010520999999999999;0.0016684;42;62
363;Mo105;0.0062127;0.00079168;42;63
364;Mo106;0.0030774;0.00031429;42;64
365;Mo107;0.00065861;0.00013183;42;65
366;Mo108;0.00015648;4.1803999999999995e-05;42;66
367;Mo109;3.4813e-05;1.1143e-05;42;67
368;Mo110;3.6145999999999997e-06;1.3147e-06;42;68
369;Mo111;1.6437999999999998e-08;5.815100000000001e-09;42;69
370;Mo112;5.1885e-10;1.9268e-10;42;70
371;Mo113;7.5228e-12;2.7379e-12;42;71
372;Tc99;0.0;0.0;43;56
373;Tc99m;0.0;0.0;43;56
374;Tc100;1.0741e-08;4.0799e-09;43;57
375;Tc101;1.0759000000000002e-05;3.9586000000000005e-06;43;58
376;Tc102;4.1808000000000004e-05;1.5131e-05;43;59
377;Tc102m;4.1808000000000004e-05;1.5131e-05;43;59
378;Tc103;0.00029755;0.00011044;43;60
379;Tc104;0.00056214;0.00021629;43;61
